Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
31,tt0060088,2011-03-16,2012-02-10,10/10,Alice Through the Looking Glass,https://www.imdb.com/title/tt0060088/,tvMovie,6.5,72,1966,"Family, Fantasy, Musical",138,1966-11-06,Alan Handley
32,tt0049366,2011-03-16,2012-02-10,10/10,Invasion of the Body Snatchers,https://www.imdb.com/title/tt0049366/,movie,7.8,80,1956,"Drama, Horror, Sci-Fi",40489,1956-02-05,Don Siegel
33,tt0330373,2011-03-16,2012-02-10,10/10,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",486281,2005-11-06,Mike Newell
34,tt0087262,2011-03-16,2012-02-10,10/10,Firestarter,https://www.imdb.com/title/tt0087262/,movie,6.0,114,1984,"Action, Horror, Sci-Fi, Thriller",26841,1984-05-11,Mark L. Lester
35,tt0192255,2011-03-16,2012-02-10,10/10,The Little Vampire,https://www.imdb.com/title/tt0192255/,movie,5.8,95,2000,"Adventure, Comedy, Family, Fantasy",8776,2000-08-18,Uli Edel
36,tt0467421,2011-03-16,2012-02-10,10/10,Twitches,https://www.imdb.com/title/tt0467421/,tvMovie,5.8,86,2005,"Comedy, Drama, Family, Fantasy",6170,2005-10-14,Stuart Gillard
37,tt1017465,2011-03-16,2012-02-10,10/10,Twitches Too,https://www.imdb.com/title/tt1017465/,tvMovie,5.8,83,2007,"Drama, Family, Fantasy",3664,2007-10-12,Stuart Gillard
38,tt0468569,2011-03-16,2012-02-10,10/10,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2052062,2008-07-14,Christopher Nolan
39,tt0363771,2011-03-16,2012-02-10,10/10,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,movie,6.9,143,2005,"Adventure, Family, Fantasy",338599,2005-12-07,Andrew Adamson
40,tt0398808,2011-03-16,2012-02-10,10/10,Bridge to Terabithia,https://www.imdb.com/title/tt0398808/,movie,7.2,96,2007,"Adventure, Drama, Family, Fantasy",131074,2007-02-15,Gabor Csupo
41,tt0382628,2011-03-16,2012-02-10,10/10,Dark Water,https://www.imdb.com/title/tt0382628/,movie,5.6,105,2005,"Drama, Horror, Mystery",56781,2005-06-27,Walter Salles
42,tt0100157,2011-03-16,2012-02-10,10/10,Misery,https://www.imdb.com/title/tt0100157/,movie,7.8,107,1990,"Drama, Thriller",163538,1990-11-29,Rob Reiner
43,tt0372784,2011-03-16,2012-02-10,10/10,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1186801,2005-05-31,Christopher Nolan
44,tt0073747,2011-03-16,2012-02-10,10/10,The Stepford Wives,https://www.imdb.com/title/tt0073747/,movie,6.9,115,1975,"Horror, Mystery, Sci-Fi, Thriller",14602,1975-02-12,Bryan Forbes
45,tt0073486,2011-03-16,2012-02-10,10/10,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,826494,1975-11-19,Milos Forman
46,tt0760177,2011-03-16,2012-02-10,10/10,The Mermaid Chair,https://www.imdb.com/title/tt0760177/,tvMovie,5.4,89,2006,"Drama, Romance",486,2006-09-09,Steven Schachter
47,tt0285531,2011-03-16,2012-02-10,10/10,Dreamcatcher,https://www.imdb.com/title/tt0285531/,movie,5.5,136,2003,"Drama, Horror, Sci-Fi, Thriller",84519,2003-03-06,Lawrence Kasdan
48,tt0099810,2011-03-16,2012-02-10,10/10,The Hunt for Red October,https://www.imdb.com/title/tt0099810/,movie,7.6,135,1990,"Action, Adventure, Thriller",164000,1990-03-02,John McTiernan
49,tt0096895,2011-03-16,2012-02-10,10/10,Batman,https://www.imdb.com/title/tt0096895/,movie,7.6,126,1989,"Action, Adventure",311642,1989-06-19,Tim Burton
50,tt0499448,2011-03-16,2012-02-10,10/10,The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/,movie,6.5,150,2008,"Action, Adventure, Family, Fantasy",178507,2008-05-09,Andrew Adamson
51,tt0358273,2011-03-16,2012-02-10,10/10,Walk the Line,https://www.imdb.com/title/tt0358273/,movie,7.9,136,2005,"Biography, Drama, Music, Romance",212097,2005-09-04,James Mangold
52,tt0363988,2011-03-16,2012-02-10,10/10,Secret Window,https://www.imdb.com/title/tt0363988/,movie,6.6,96,2004,"Drama, Mystery, Thriller",169426,2004-03-07,David Koepp
53,tt0342508,2011-03-16,2012-02-10,10/10,Hangman's Curse,https://www.imdb.com/title/tt0342508/,movie,5.0,106,2003,"Horror, Mystery, Thriller",2362,2003-09-12,Rafal Zielinski
54,tt0102945,2011-03-16,2012-02-10,10/10,Sleeping with the Enemy,https://www.imdb.com/title/tt0102945/,movie,6.2,99,1991,"Drama, Thriller",45160,1991-02-04,Joseph Ruben
55,tt0114114,2011-03-16,2012-02-10,10/10,Perfect Alibi,https://www.imdb.com/title/tt0114114/,movie,5.4,98,1995,"Crime, Drama, Mystery, Romance, Thriller",228,1995-09-05,Kevin Meyer
56,tt0783233,2011-03-16,2012-02-10,10/10,Atonement,https://www.imdb.com/title/tt0783233/,movie,7.8,123,2007,"Drama, Mystery, Romance, War",227535,2007-08-28,Joe Wright
57,tt0111939,2011-03-16,2012-02-10,10/10,Degree of Guilt,https://www.imdb.com/title/tt0111939/,tvMovie,6.3,180,1995,"Drama, Mystery",154,1995-10-29,Mike Robe
58,tt0096071,2011-03-16,2012-02-10,10/10,The Serpent and the Rainbow,https://www.imdb.com/title/tt0096071/,movie,6.5,98,1988,"Fantasy, Horror",20215,1988-02-05,Wes Craven
59,tt0319061,2011-03-16,2012-02-10,10/10,Big Fish,https://www.imdb.com/title/tt0319061/,movie,8.0,125,2003,"Adventure, Drama, Fantasy, Romance",388957,2003-12-04,Tim Burton
60,tt1146321,2011-03-16,2012-02-10,10/10,The Note,https://www.imdb.com/title/tt1146321/,tvMovie,6.9,88,2007,Family,651,2007-12-08,Douglas Barr
61,tt0477348,2011-03-16,2012-02-10,10/10,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.1,122,2007,"Crime, Drama, Thriller",762842,2007-05-19,"Ethan Coen, Joel Coen"
62,tt1201607,2012-02-10,2012-02-10,10/10,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Drama, Fantasy, Mystery",687628,2011-07-07,David Yates
63,tt0289424,2011-03-16,2012-02-10,10/10,Ring,https://www.imdb.com/title/tt0289424/,movie,6.3,108,1999,Horror,1986,1999-06-12,Dong-bin Kim
64,tt0134928,2011-03-16,2012-02-10,10/10,Rasen,https://www.imdb.com/title/tt0134928/,movie,5.3,97,1998,"Drama, Fantasy, Horror, Mystery, Thriller",2536,1998-01-31,Jôji Iida
65,tt0143296,2011-03-16,2012-02-10,10/10,I've Been Waiting for You,https://www.imdb.com/title/tt0143296/,tvMovie,5.4,90,1998,"Horror, Thriller",1199,1998-03-22,Christopher Leitch
66,tt0119790,2011-03-16,2012-02-10,10/10,NightScream,https://www.imdb.com/title/tt0119790/,tvMovie,5.0,87,1997,"Drama, Mystery, Thriller",382,1997-04-14,Noel Nosseck
67,tt0101687,2011-03-16,2012-02-10,10/10,Deadly Medicine,https://www.imdb.com/title/tt0101687/,tvMovie,5.7,120,1991,"Drama, Thriller",77,1991-11-11,Richard A. Colla
